,Artist,Born,Born In,Years Active,Founded In,Died
0,Snoh Aalegra,13 September 1987 (age 34),"Uppsala, Uppsala Municipality, Uppsala, Sweden",,,
0,Machine Gun Kelly,22 April 1990 (age 31),"Houston, Harris County, Texas, United States",,,
0,Cardi B,11 October 1992 (age 28),"The Bronx, New York, New York, United States",,,
0,Megan Thee Stallion,15 February 1995 (age 26),"Houston, Harris County, Texas, United States",,,
0,Skrillex,15 January 1988 (age 33),"Los Angeles, Los Angeles County, California, United States",,,
0,Lizzo,27 April 1988 (age 33),"Detroit, Wayne County, Michigan, United States",,,
0,The Kid LAROI,16 August 2003 (age 18),"Waterloo, Sydney, New South Wales, Australia",,,
0,Justin Bieber,1 March 1994 (age 27),"London, Middlesex County, Ontario, Canada",,,
0,Jamiroquai,,,1992 – present (29 years),"Ealing, London, England, United Kingdom",
0,Cassia,,,2016 – present (5 years),"Macclesfield, Cheshire East, England, United Kingdom",
0,Azure Ray,,,2001 – present (20 years),"Athens, Clarke County, Georgia, United States",
0,Bitter:Sweet,,,2006 – present (15 years),"Los Angeles, Los Angeles County, California, United States",
0,Theodore Shapiro,29 September 1971 (age 49),"Washington, D.C., United States",,,
0,Jessie Ware,15 October 1984 (age 36),"Hammersmith, Hammersmith and Fulham, London, England, United Kingdom",,,
0,Toro y Moi,7 November 1986 (age 34),"Columbia, Lexington County, South Carolina, United States",,,
0,Petit Biscuit,10 November 1999 (age 21),"Rouen, Seine-Maritime, Normandie, France",,,
0,The Alchemist,25 October 1977 (age 43),"Beverly Hills, Los Angeles County, California, United States",,,
0,Normani,31 May 1996 (age 25),"Atlanta, Fulton County, Georgia, United States",,,
0,Michael Jackson,29 August 1958,"Gary, Lake County, Indiana, United States",,,25 June 2009 (aged 50)
0,Bia,16 August 1991 (age 30),"Medford, Middlesex County, Massachusetts, United States",,,
0,DJ Snake,13 June 1986 (age 35),"Paris, Île-de-France, France",,,
0,ZHU,22 April 1989 (age 32),,,,
0,Bleachers,31 March 1984 (age 37),"Bergen County, New Jersey, United States",,,
0,Gucci Mane,12 February 1980 (age 41),"Birmingham, Jefferson County, Alabama, United States",,,
0,070 Shake,13 June 1997 (age 24),"North Bergen, Hudson County, New Jersey, United States",,,
0,H.E.R.,27 June 1997 (age 24),"Vallejo, Solano County, California, United States",,,
0,Maribou State,,,2011 – present (10 years),,
0,Gabriel & Dresden,,,2001 – present (20 years),"San Francisco, California, United States",
0,Trent Reznor and Atticus Ross,17 May 1965 (age 56),"New Castle, Lawrence County, Pennsylvania, United States",,,
0,Digitalism,,,2004 – present (17 years),"Hamburg, Germany",
0,Max Cooper,1980 (age 41),"Belfast, Belfast, County Down, Northern Ireland, United Kingdom",,,
0,Bad Bunny,10 March 1994 (age 27),"San Juan, Puerto Rico",,,
0,Jay Rock,31 March 1986 (age 35),"Watts, Los Angeles, Los Angeles County, California, United States",,,
0,Wale,21 September 1984 (age 37),"Washington, D.C., United States",,,
0,Migos,,,2008 – present (13 years),"Lawrenceville, Gwinnett County, Georgia, United States",
0,Audrey Nuna,2 April 1999 (age 22),"New Jersey, United States",,,
0,Emotional Oranges,,,,"Los Angeles, Los Angeles County, California, United States",
0,Princess Nokia,14 June 1992 (age 29),"New York, New York, United States",,,
0,XXYYXX,31 October 1995 (age 25),"Orlando, Orange County, Florida, United States",,,
0,Tycho,,,1977 – present (44 years),"San Francisco, California, United States",
0,Bonobo,30 March 1976 (age 45),"Leeds, Leeds, West Yorkshire, England, United Kingdom",,,
0,The xx,,,2005 – present (16 years),"Wandsworth, London, England, United Kingdom",
0,Erica Banks,5 October 1998 (age 22),"DeSoto, Dallas County, Texas, United States",,,
0,Daniel Caesar,5 April 1995 (age 26),"Toronto, Ontario, Canada",,,
0,David Bowie,8 January 1947,"Brixton, Lambeth, London, England, United Kingdom",,,10 January 2016 (aged 69)
0,Kiana Ledé,3 April 1997 (age 24),"Phoenix, Maricopa County, Arizona, United States",,,
0,Logic,22 January 1990 (age 31),"Gaithersburg, Montgomery County, Maryland, United States",,,
0,Pop Smoke,20 July 1999,"Brooklyn, New York, New York, United States",,,19 February 2020 (aged 20)
0,EST Gee,11 May 1994 (age 27),"Louisville, Jefferson County, Kentucky, United States",,,
0,Denzel Curry,16 February 1995 (age 26),"Carol City, Miami Gardens, Miami-Dade County, Florida, United States",,,
0,Scary Pockets,,,2017 – present (4 years),,
0,UMI,February 1999 (age 22),"Seattle, King County, Washington, United States",,,
0,Pixies,,,1986 – present (35 years),"Boston, Suffolk County, Massachusetts, United States",
0,The Cranberries,,,1989 – 2019 (30 years),"Limerick, County Limerick, Munster, Ireland",
0,Tom Odell,24 November 1990 (age 30),"Chichester, West Sussex, England, United Kingdom",,,
0,The Stranglers,,,1974 – present (47 years),"Guildford, Surrey, England, United Kingdom",
0,Bruno Mars,8 October 1985 (age 35),"Honolulu, Honolulu County, Hawaii, United States",,,
0,Role Model,15 May 1997 (age 24),,,,
0,John Lennon,9 October 1940,"Liverpool, Merseyside, England, United Kingdom",,,8 December 1980 (aged 40)
0,Paul Simon,13 October 1941 (age 79),"Newark, Essex County, New Jersey, United States",,,
0,Arlo Parks,9 August 2000 (age 21),"London, England, United Kingdom",,,
0,Grouper,15 July 1980 (age 41),"Marin County, California, United States",,,
0,Statik Selektah,23 January 1982 (age 39),"Boston, Suffolk County, Massachusetts, United States",,,
0,Jack Wall,1964 (age 57),,,,
0,Stendeck,14 June 1977 (age 44),,,,
0,IDK,24 May 1992 (age 29),"London, England, United Kingdom",,,
0,Jeremih,17 July 1987 (age 34),"Chicago, Cook County, Illinois, United States",,,
0,The Isley Brothers,,,1954 – present (67 years),"Cincinnati, Hamilton County, Ohio, United States",
0,Mazzy Star,,,1989 – present (32 years),"Santa Monica, Los Angeles County, California, United States",
0,Jessie Reyez,12 June 1991 (age 30),"Toronto, Ontario, Canada",,,
0,Benny Blanco,8 March 1988 (age 33),"Reston, Fairfax County, Virginia, United States",,,
0,Ty Dolla $ign,13 April 1985 (age 36),"Los Angeles, Los Angeles County, California, United States",,,
0,L'Impératrice,,,2012 – present (9 years),"Paris, Île-de-France, France",
0,Indila,26 June 1984 (age 37),"Paris, Île-de-France, France",,,
0,Françoise Hardy,17 January 1944 (age 77),"Paris, Île-de-France, France",,,
0,Édith Piaf,19 December 1915,"Belleville, Paris, Île-de-France, France",,,11 October 1963 (aged 47)
0,Joe Dassin,5 November 1938,"Brooklyn, New York, New York, United States",,,20 August 1980 (aged 41)
0,Charles Trenet,18 May 1913,"Narbonne, Aude, Occitanie, France",,,19 February 2001 (aged 87)
0,Sidney Bechet,14 May 1897,"New Orleans, Louisiana, United States",,,14 May 1959 (aged 62)
0,The Backseat Lovers,,,,"Heber City, Wasatch County, Utah, United States",
0,The 1975,,,2002 – present (19 years),"Manchester, Greater Manchester, England, United Kingdom",
0,Men I Trust,,,2014 – present (7 years),"Montreal, Montreal, Quebec, Canada",
0,Leon Bridges,13 July 1989 (age 32),"Atlanta, Fulton County, Georgia, United States",,,
0,6LACK,24 June 1992 (age 29),"Baltimore, Maryland, United States",,,
0,Snoop Dogg,20 October 1971 (age 49),"Long Beach, Los Angeles County, California, United States",,,
0,Smino,2 October 1991 (age 29),"St. Louis, Missouri, United States",,,
0,GoldLink,17 May 1993 (age 28),"Washington, D.C., United States",,,
0,BTS,,,2013 – present (8 years),"Seoul, Korea, Republic of",
0,Måneskin,,,2016 – present (5 years),"Rome, Roma, Lazio, Italy",
0,Baka Not Nice,6 March 1979 (age 42),,,,
0,John Mayer,16 October 1977 (age 43),"Bridgeport, Fairfield County, Connecticut, United States",,,
0,Lil Peep,1 November 1996,"Allentown, Lehigh County, Pennsylvania, United States",,,15 November 2017 (aged 21)
0,KSI,19 June 1993 (age 28),"Watford, Hertfordshire, England, United Kingdom",,,
0,French Montana,9 November 1984 (age 36),"Rabat, Rabat-Salé-Zemmour-Zaer, Morocco",,,
0,Major Lazer,,,2008 – present (13 years),"Los Angeles, Los Angeles County, California, United States",
0,Stick Figure,,,2006 – present (15 years),"Duxbury, Plymouth County, Massachusetts, United States",
0,Nick Waterhouse,8 February 1986 (age 35),"Santa Ana, Orange County, California, United States",,,
0,Clothilde,22 February 1948 (age 73),,,,
0,Blondie,,,1974 – present (47 years),"New York, New York, United States",
0,The Brothers Four,,,1957 – present (64 years),"Seattle, King County, Washington, United States",
0,Boards of Canada,,,1986 – present (35 years),"Edinburgh, Scotland, United Kingdom",
0,serpentwithfeet,9 July 1988 (age 33),"Baltimore, Maryland, United States",,,
0,kennyhoopla,5 August 1997 (age 24),"Cleveland, Cuyahoga County, Ohio, United States",,,
0,Joachim Pastor,,"Paris, Île-de-France, France",,,
0,Plaid,,,1991 – present (30 years),"London, England, United Kingdom",
0,Moderat,,,2002 – present (19 years),"Berlin, Germany",
0,Trent Reznor,17 May 1965 (age 56),"New Castle, Lawrence County, Pennsylvania, United States",,,
0,Kraftwerk,,,1970 – present (51 years),"Düsseldorf, Nordrhein-Westfalen, Germany",
0,Eminem,17 October 1972 (age 48),"St. Joseph, Buchanan County, Missouri, United States",,,
0,Hiatus Kaiyote,,,2011 – present (10 years),"Melbourne, Victoria, Australia",
0,Jimi Hendrix,27 November 1942,"Seattle, King County, Washington, United States",,,18 September 1970 (aged 27)
0,Pink Floyd,,,1965 – 2014 (49 years),"London, England, United Kingdom",
0,Funkadelic,,,1968 – 1981 (13 years),"Plainfield, Union County, New Jersey, United States",
0,Safe,30 January 1997 (age 24),"Abu Dhabi, Abū Z̧aby [Abu Dhabi], United Arab Emirates",,,
0,Maluma,28 January 1994 (age 27),"Medellín, Antioquia, Colombia",,,
0,Ari Lennox,26 March 1991 (age 30),"Washington, D.C., United States",,,
0,Between Friends,,,2017 – present (4 years),"Los Angeles, Los Angeles County, California, United States",
0,Polo G,6 January 1999 (age 22),"Chicago, Cook County, Illinois, United States",,,
0,Little Dragon,,,1996 – present (25 years),"Gothenburg, Västra Götaland, Sweden",
0,Janelle Monáe,1 December 1985 (age 35),"Kansas City, Wyandotte County, Kansas, United States",,,
0,Emancipator,27 May 1987 (age 34),"New York, New York, United States",,,
0,Keith Jarrett Trio,,,1983 – present (38 years),,
0,Jon Batiste,11 November 1986 (age 34),"Kenner, Jefferson Parish, Louisiana, United States",,,
0,Julien Baker,29 September 1995 (age 25),"Memphis, Shelby County, Tennessee, United States",,,
0,Amen Dunes,,,2006 – present (15 years),"Brooklyn, New York, New York, United States",
0,Slowdive,,,1989 – present (31 years),"Reading, England, United Kingdom",
0,La Roux,,,2006 – present (15 years),"Brixton, Lambeth, London, England, United Kingdom",
0,JackBoys,,,2019 – present (2 years),,
0,Pharrell Williams,5 April 1973 (age 48),"Virginia Beach, Virginia, United States",,,
0,Kaitlyn Aurelia Smith,1987 (age 34),"Agoura Hills, Los Angeles County, California, United States",,,
0,Sarah Davachi,1987 (age 34),"Calgary, Alberta, Canada",,,
0,Ed Sheeran,17 February 1991 (age 30),"Halifax, Calderdale, West Yorkshire, England, United Kingdom",,,
0,Playboi Carti,13 September 1996 (age 25),"Atlanta, Fulton County, Georgia, United States",,,
0,Russ,26 September 1992 (age 28),"Secaucus, Hudson County, New Jersey, United States",,,
0,JayKae,23 July 1991 (age 30),,,,
0,Col3trane,,"London, England, United Kingdom",,,
0,Chance the Rapper,16 April 1993 (age 28),"Chicago, Cook County, Illinois, United States",,,
0,slowthai,18 December 1994 (age 26),"Northampton, Northamptonshire, England, United Kingdom",,,
0,Jim-E Stack,,"San Francisco, California, United States",,,
0,Liv.e,,"Dallas, Dallas County, Texas, United States",,,
0,Sublime,,"Val-d'Oise, Île-de-France, France",,,
0,Odd Future,,,2007 – present (14 years),"Los Angeles, Los Angeles County, California, United States",
0,Nicolas Jaar,10 January 1990 (age 31),"New York, New York, United States",,,
0,Flying Lotus,7 October 1983 (age 37),"Los Angeles, Los Angeles County, California, United States",,,
0,Caribou,1978 (age 43),"Dundas, Hamilton, Ontario, Canada",,,
0,hania rani,5 September 1990 (age 31),"Gdańsk, Pomorskie, Poland",,,
0,Niklas Paschburg,4 July 1994 (age 27),"Hamburg, Germany",,,
0,Angus MacRae,February 1989 (age 32),,,,
0,Chilly Gonzales,,,2004 – present (17 years),,
0,Lucy Dacus,2 May 1995 (age 26),"Richmond, Virginia, United States",,,
0,Earl Sweatshirt,24 February 1994 (age 27),"Chicago, Cook County, Illinois, United States",,,
0,Curren$y,4 April 1981 (age 40),"New Orleans, Louisiana, United States",,,
0,"Tyler, the Creator",6 March 1991 (age 30),"Los Angeles, Los Angeles County, California, United States",,,
0,City Girls,,,2017 – present (4 years),"Miami, Miami-Dade County, Florida, United States",
0,grandson,25 October 1993 (age 27),"New Jersey, United States",,,
0,Felix Cartal,9 April 1987 (age 34),"Vancouver, Metro Vancouver, British Columbia, Canada",,,
0,SAINt JHN,,"Brooklyn, New York, New York, United States",,,
0,Big Sean,25 March 1988 (age 33),"Santa Monica, Los Angeles County, California, United States",,,
0,Pink Sweat$,14 February 1992 (age 29),"Philadelphia, Philadelphia County, Pennsylvania, United States",,,
0,GASHI,4 October 1989 (age 31),"Tripoli, Ţarābulus, Libyan Arab Jamahiriya",,,
0,SG Lewis,9 July 1994 (age 27),"Reading, England, United Kingdom",,,
0,Arin Ray,2 September 1995 (age 26),"Cincinnati, Hamilton County, Ohio, United States",,,
0,Tina Turner,26 November 1939 (age 81),"Nutbush, Haywood County, Tennessee, United States",,,
0,The Shins,,,1997 – present (24 years),"Albuquerque, Bernalillo County, New Mexico, United States",
0,Elhae,24 August 1990 (age 31),"Minot, Ward County, North Dakota, United States",,,
0,Arizona Zervas,19 April 1995 (age 26),"Hagerstown, Washington County, Maryland, United States",,,
0,blackbear,27 November 1990 (age 30),"Daytona Beach, Volusia County, Florida, United States",,,
0,Mike.,19 October 1998 (age 22),,,,
0,Wiz Khalifa,8 September 1987 (age 34),"Minot, Ward County, North Dakota, United States",,,
0,NF,30 March 1991 (age 30),"Gladwin, Gladwin County, Michigan, United States",,,
0,Cautious Clay,1992 (age 29),"Cleveland, Cuyahoga County, Ohio, United States",,,
0,Francis and the Lights,,,2007 – present (14 years),"Oakland, Alameda County, California, United States",
0,Madison Beer,5 March 1999 (age 22),"Nassau County, New York, United States",,,
0,Mitski,27 September 1990 (age 30),,,,
0,Gwen Stefani,3 October 1969 (age 51),"Fullerton, Orange County, California, United States",,,
0,Yungblud,5 August 1997 (age 24),"Doncaster, Doncaster, South Yorkshire, England, United Kingdom",,,
0,Miley Cyrus,23 November 1992 (age 28),"Nashville, Davidson County, Tennessee, United States",,,
0,James Fauntleroy,16 May 1984 (age 37),"Inglewood, Los Angeles County, California, United States",,,
0,Tainy,9 August 1989 (age 32),"San Juan, Puerto Rico",,,
0,JMSN,1982 (age 39),"Eastpointe, Macomb County, Michigan, United States",,,
0,Charli XCX,2 August 1992 (age 29),"Cambridge, Cambridgeshire, England, United Kingdom",,,
0,Blake Ruby,26 June 1998 (age 23),"Westminster, Carroll County, Maryland, United States",,,
0,Enny,9 December 1994 (age 26),"London, England, United Kingdom",,,
0,NLE Choppa,1 November 2002 (age 18),"Memphis, Shelby County, Tennessee, United States",,,
0,Juice WRLD,2 December 1998,"Chicago, Cook County, Illinois, United States",,,8 December 2019 (aged 21)
0,Tyga,19 November 1989 (age 31),"Compton, Los Angeles County, California, United States",,,
0,A Boogie wit da Hoodie,6 December 1995 (age 25),"The Bronx, New York, New York, United States",,,
0,Lil Tecca,26 August 2002 (age 19),"Queens, New York, New York, United States",,,
0,Masked Wolf,1992 (age 29),"Sydney, New South Wales, Australia",,,
0,MoneyBagg Yo,22 September 1991 (age 29),"Memphis, Shelby County, Tennessee, United States",,,
0,Joyner Lucas,17 August 1988 (age 33),"Worcester, Worcester County, Massachusetts, United States",,,
0,J. Cole,28 January 1985 (age 36),"Frankfurt am Main, Hessen, Germany",,,
0,Creedence Clearwater Revival,,,1959 – 1972 (13 years),"El Cerrito, Contra Costa County, California, United States",
0,The Police,,,1977 – 2008 (31 years),"London, England, United Kingdom",
0,Cutting Crew,,,1985 – present (36 years),"London, England, United Kingdom",
0,Simple Minds,,,1977 – present (44 years),"Glasgow, Scotland, United Kingdom",
0,Tears for Fears,,,1981 – present (40 years),"Bath, Somerset, England, United Kingdom",
0,Bryan Adams,5 November 1959 (age 61),"Kingston, Frontenac County, Ontario, Canada",,,
0,Avril Lavigne,27 September 1984 (age 36),"Belleville, Hastings County, Ontario, Canada",,,
0,Trevor Daniel,28 September 1994 (age 26),"Los Angeles, Los Angeles County, California, United States",,,
0,Charlie Puth,2 December 1991 (age 29),"Janesville, Rock County, Wisconsin, United States",,,
0,My Chemical Romance,,,2001 – 2013 (12 years),"Newark, Essex County, New Jersey, United States",
0,Valley,,,,"Toronto, Ontario, Canada",
0,slauson malone,26 December 1995 (age 25),"Los Angeles, Los Angeles County, California, United States",,,
0,Caroline Polachek,20 June 1985 (age 36),,,,
